Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_ILS,Spend_NZD,Spend_TWD,Spend_AUD
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,US,US-Federal,326,171100,151000,12254500,295350,1124900,3904000,1126500,50145000,654000,718425,1590000,132800,604500,260400,5202000,244800
AR101040754905841664,SPD Baden-Württemberg,,"DE, EU",EU-Parliament,20,600,500,43750,975,3800,13000,3500,180000,2200,2400,5250,450,2000,800,18000,750
AR101044156519940096,DELEGACIÓN ESPAÑOLA DEL GRUPO DE LA ALIANZA PROGRESISTA DE SOCIALISTAS Y DEMOCRATAS EN EL PARLAMENTO EUROPEO,,"ES, EU",EU-Parliament,2,2700,2350,201250,4600,17800,62000,17500,810000,10400,11325,24750,2100,9250,4000,78000,3750
AR101121809528651776,"PETE FOR AMERICA, INC.",FEC ID C00697441,US,US-Federal,3931,7206300,6506850,511448750,12726325,48378700,165517000,48606000,2160600000,27863800,31014825,69051750,5604100,25156250,11122400,219882000,10568250
AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,EIN ID 82-0758730,US,US-Federal,20,23500,20600,1713750,40250,152900,531000,153500,6652500,88600,96000,213000,18150,86750,35800,726000,32850
AR101183107301900288,Fianna Fáil,,"EU, GB, IE",EU-Parliament,237,53600,48500,3814250,94850,361100,1224000,362500,16275000,207600,231375,514500,41300,185500,82600,1623000,79350
AR101209633019920384,VAN DREW FOR CONGRESS,FEC ID C00661868,US,US-Federal,5,49400,42350,3616500,82875,320000,1142000,315500,15195000,190800,205875,442500,38150,169000,74600,1431000,69750
AR101303297666711552,LINDSEY PORT FOR MN,Registered in Minnesota 18466,US,US-Federal,20,15000,12750,1110750,24950,96100,341000,95000,4530000,57100,61875,132000,11550,51000,22600,435000,21000
AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,FEC ID C00676700,US,US-Federal,11,1200,1050,87750,2050,7800,27000,8000,337500,4500,4875,11250,900,4500,1800,36000,1650
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,US-Federal,5,1900,1650,138250,3275,12400,43000,12500,540000,7200,7800,17250,1500,7000,3000,60000,2700
AR101638236396322816,COLE FOR STATE REP,Registered in Indiana 7073,US,US-Federal,13,4000,3400,293250,6625,25600,92000,25000,1230000,15400,16500,35250,3050,13500,6000,114000,5550
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,US,US-Federal,226,2667800,2317800,197103500,4533400,17484800,61912000,17267500,820747500,10362500,11227500,24276750,2083300,9174750,4088000,78402000,3822000
AR102186205503815680,SECURE DEMOCRACY,EIN ID 82-3846342,US,US-Federal,8,22600,19300,1692000,37800,145000,508000,144000,6690000,85200,93375,198750,17550,77250,34000,666000,31650
AR10245043189186560,MAST FOR CONGRESS,EIN ID 81-5214677,US,US-Federal,18,46400,39300,3414000,76850,296500,1050000,292500,14107500,175800,190875,408000,35600,157750,69600,1350000,64350
AR102632744663646208,NATIONAL IRANIAN AMERICAN COUNCIL,EIN ID 73-1626026,US,US-Federal,2,0,50,2750,50,200,1000,0,15000,100,150,0,50,0,0,0,0
AR102636249356959744,JESSICA TAYLOR FOR CONGRESS,EIN ID 84-3231707,US,US-Federal,27,2600,2350,187500,4600,17600,60000,17500,787500,10100,11250,24750,2000,9000,4000,78000,3900
AR102638173502308352,HILLARY O'CONNOR MUERI FOR OHIO,FEC ID C00722637,US,US-Federal,10,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0
AR102917793053147136,ERA NAEDA SRL,,"EU, RO",EU-Parliament,9,100,100,9250,200,800,3000,1000,37500,500,525,750,100,500,200,3000,150
AR102918342808961024,HUESO FOR SUPERVISOR 2020; BEN,Registered in California 1415420,US,US-Federal,13,400,350,29750,675,2600,9000,2500,127500,1600,1650,3750,300,1500,600,12000,600
AR103132816295854080,MISSISSIPPI REPUBLICAN PARTY,FEC ID C00084368,US,US-Federal,13,18400,16550,1296000,32350,122700,425000,123500,5452500,71200,78450,177000,14650,64500,28600,567000,26700
AR103201123455729664,LANDRIC A. ‘LANNY’ BOSE,Registered in Texas 00084101,US,US-Federal,4,2700,2450,197250,4800,18300,62000,18500,825000,10600,11775,26250,2100,9500,4400,81000,4200
AR103258779096711168,CAMPAIGN FOR AMERICAN PRINCIPLES,EIN ID 46-2413647,US,US-Federal,99,73100,66450,5185500,130000,493400,1712000,496500,22132500,287700,315750,717750,58800,255750,115800,2253000,108000
AR103276508721709056,FRIENDS OF JOE KERWIN,EIN ID 84-4592479,US,US-Federal,10,900,750,65000,1475,5700,20000,5500,277500,3400,3675,7500,700,3000,1400,24000,1200
AR103361033678094336,SCOTT GELFAND,,US,US-Federal,10,700,650,53750,1250,4800,17000,4500,217500,2800,3075,6750,550,2500,1200,21000,1050
AR103378007388848128,STUCK FOR CONGRESS,EIN ID 84-2263229,US,US-Federal,9,400,400,31750,800,3000,10000,3000,135000,1700,1950,4500,350,1500,800,15000,600
AR103394156465881088,COMMITTEE TO ELECT CLEAVE SIMPSON,Registered in Colorado 20195037532,US,US-Federal,4,5800,4900,426000,9625,37300,134000,36500,1792500,22500,24000,51000,4450,19500,8800,165000,8100
AR103535993465864192,SAN JOSE TEACHERS ASSOCIATION POLITICAL ACTION COMMITTEE,Registered in California 1254337,US,US-Federal,6,500,450,37250,850,3300,12000,3000,157500,2000,2100,4500,400,1750,800,15000,750
AR103765516518162432,JUST THE FACTS MICHIGAN,Registered in Michigan 519895,US,US-Federal,30,700,650,54000,1225,4700,17000,4500,225000,2800,3075,6750,550,2500,1200,21000,1050
AR103839115077746688,ARNOLD FOR ALABAMA,FEC ID C00705269,US,US-Federal,24,12000,10800,851250,21100,80300,276000,80500,3570000,46200,51300,116250,9300,42250,18800,366000,17550
AR103928587836456960,PACIFIC CAMPAIGN HOUSE,EIN ID 82-5390497,US,US-Federal,11,500,400,33500,825,3100,11000,3000,135000,1800,2025,4500,350,1750,800,15000,750
AR104017854436737024,Die Gruene Alternative - Wien,,"AT, EU, SK",EU-Parliament,10,30600,25950,2237250,50775,196400,703000,193000,9292500,116400,126450,270750,23550,104000,46000,879000,42600
AR104028093638770688,FRIENDS OF RAJA FOR CONGRESS,FEC ID C00575092,US,US-Federal,10,65300,57550,4798000,112600,429700,1488000,429500,18877500,248700,271275,603000,50800,238500,101200,2004000,94800
AR104074891602427904,Advictory LLC,EIN ID 47-3889825,US,US-Federal,108,68700,59250,4812500,115900,438800,1529000,441500,19177500,255400,275775,612000,52350,251000,102000,2103000,93750
AR104120933651841024,VISION CHARITABLE TRUST,EIN ID 48-6393123,US,US-Federal,3,200,150,14750,325,1300,5000,1500,60000,800,825,1500,150,750,400,6000,300
AR104129661025386496,FW Niederösterreich,,"AT, EU",EU-Parliament,14,3300,2950,233000,5800,22100,75000,22000,997500,12700,14175,31500,2500,11250,5000,99000,4800
AR104324618180886528,BARBARA MCGUIRE FOR STATE SENATOR - DISTRICT NO. 8,Registered in Arizona 100254,US,US-Federal,1,200,200,16750,375,1500,5000,1500,67500,900,975,2250,200,750,400,6000,300
AR104356641457045504,FRIENDS OF ROBYN VINING,EIN ID 82-5193419,US,US-Federal,107,57400,48900,4230750,95675,370500,1330000,364000,17812500,223100,238350,508500,44350,195250,86800,1653000,81000
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,US,US-Federal,28,6400,5500,454750,10800,41000,142000,41000,1785000,23700,25650,57000,4950,23250,9600,195000,8850
AR104607192669224960,EASTON DEMOCRATIC TOWN COMMITTEE,EIN ID 06-1499125,US,US-Federal,2,300,250,21000,475,1800,7000,2000,90000,1100,1200,2250,200,1000,400,9000,450
AR104766140818915328,Vänsterpartiet,,"EU, SE",EU-Parliament,9,15600,13900,1086750,27200,103300,359000,104000,4545000,59900,66225,149250,12250,56000,23800,489000,22500
AR105054968779636736,"MARSY'S LAW FOR IDAHO, LLC",EIN ID 82-1241877,US,US-Federal,12,3700,3300,266750,6475,24900,86000,25000,1140000,14500,15975,36000,2900,12750,5800,111000,5700
AR105144029221486592,CHICAGO TEACHERS UNION,EIN ID 36-0906695,US,US-Federal,30,12200,10000,897250,19575,75700,262000,74500,3607500,45300,48750,100500,9000,39000,17000,342000,15900
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,US,US-Federal,27403,83428600,71389700,6152760750,139627100,538749000,1912306000,531552000,25478647500,320273300,346381200,743011500,64452250,285152250,126400000,2430633000,117436350
AR105818510885650432,UAB BPN LT,,"BE, ES, EU, IT, LT, LV, PT, SE",EU-Parliament,58,2000,1750,149250,3425,13200,47000,13000,622500,7900,8475,18000,1550,6750,3000,57000,2850
AR105853214221402112,WORKERS DEFENSE ACTION FUND,EIN ID 46-4242654,US,US-Federal,5,1800,1500,131000,2950,11400,41000,11500,555000,7000,7350,15750,1350,6000,2600,51000,2550
AR105925713269358592,NOTABN PLUS SRL-D,,"EU, RO",EU-Parliament,1,0,50,3250,75,300,1000,500,15000,200,225,750,50,250,0,0,0
AR105987011042607104,AMERICAN UNITY PAC INC,FEC ID C00523589,US,US-Federal,3,7500,6750,531250,13150,50000,171000,50500,2220000,28700,32100,70500,5700,26000,11400,228000,10800
AR106403725949534208,JEXAN LLC,EIN ID 46-2572638,US,US-Federal,12185,12300,11100,902750,21675,83200,289000,82500,3817500,48500,53325,117000,9650,42750,19200,369000,18300
AR106535323747483648,JUDE SCHRODER,,US,US-Federal,14,700,600,52250,1175,4500,16000,4500,210000,2700,2925,6000,550,2500,1000,21000,1050
AR106636478817239040,PROCHOICE VOTER,FEC ID C00202804,US,US-Federal,3,300,300,24500,550,2200,8000,2000,97500,1300,1350,3000,250,1000,600,9000,450
AR106701350003277824,FRIENDS OF JIM BERNARD,EIN ID 36-4771246,US,US-Federal,6,3000,2800,228000,5450,21000,76000,20500,982500,12700,13425,29250,2450,10500,5000,90000,4650
AR106804085620998144,"EXACT DRIVE, INC.",EIN ID 27-1797458,US,US-Federal,5,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0
AR106878165216919552,TROY KING FOR CONGRESS,EIN ID 84-2958173,US,US-Federal,6,100,50,3750,100,300,1000,500,15000,200,225,750,50,250,0,3000,150
AR106892802465464320,VOTE LIZ HARRIS,EIN ID 84-4652256,US,US-Federal,4,2000,1700,147000,3325,12900,46000,12500,622500,7800,8250,17250,1550,6750,3000,57000,2850
AR107035738977075200,FRIENDS OF BERT REEVES,Registered in Georgia C2013001468,US,US-Federal,2,2400,2050,179500,4050,15700,56000,15500,757500,9500,10125,21750,1850,8250,3600,69000,3450
AR107137993558458368,DARROW FOR COUNCIL,EIN ID 81-1012673,US,US-Federal,1,700,600,51000,1150,4500,16000,4500,217500,2700,2850,6000,550,2250,1000,21000,1050
AR107360507224129536,"LINCOLN STRATEGY GROUP, LLC",EIN ID 26-1658436,US,US-Federal,1,3300,2800,244750,5500,21200,75000,21000,1012500,12600,13650,29250,2550,11250,5000,96000,4650
AR107495884593299456,Bodescu Aida Intreprindere Individuala,,"EU, RO",EU-Parliament,3,0,50,3500,75,300,1000,500,15000,200,225,750,50,250,0,0,0
AR107541926642712576,JANET BARRESI FOR CONGRESS,FEC ID C00721357,US,US-Federal,1,600,550,46750,1075,4200,15000,4000,195000,2500,2700,6000,500,2250,1000,18000,900
AR107555258221199360,"MARESH, WILLIAM HOUSE COMMITTEE",Registered in Minnesota 18312,US,US-Federal,8,2700,2350,203750,4575,17700,63000,17500,855000,10700,11400,24000,2100,9250,4000,78000,3900
AR107675860902871040,BENSALEM TOWNSHIP REPUBLICAN EXECUTIVE COMMITTEE,EIN ID 76-0702737,US,US-Federal,6,5500,5000,392250,9725,37100,127000,37000,1642500,21300,23625,53250,4300,19500,8600,168000,8100
AR107815705038028800,MIKE GIALLOMBARDO CAMPAIGN,EIN ID 84-1971432,US,US-Federal,4,1400,1200,104500,2350,9100,32000,9000,435000,5400,5850,12750,1100,4750,2200,42000,1950
AR108117864577236992,SUNNY CHAPARALA FOR CONGRESS,FEC ID C00717470,US,US-Federal,28,4100,3750,294500,7325,28000,94000,28000,1267500,16100,17925,39750,3150,14250,6400,123000,6150
AR108481940364984320,BIDEN FOR PRESIDENT,FEC ID C00703975,US,US-Federal,58341,83700800,71800900,6178760500,140433025,542225200,1926565000,534644500,25692817500,322701300,348714900,749097000,64848000,286403000,126961400,2439189000,118244700
AR108578491229798400,"FWD.US, INC.",EIN ID 46-2223015,US,US-Federal,27,35900,31750,2677500,62125,239300,846000,236500,11032500,141400,153300,332250,28400,124500,55800,1068000,52200
AR108606803654213632,MURPHY FOR MINNESOTA,EIN ID 81-4353426,US,US-Federal,3,400,350,27750,675,2600,9000,2500,112500,1500,1650,3750,300,1500,600,12000,600
AR10873551523414016,FRIENDS OF STEVE MENTZER,EIN ID 46-0872188,US,US-Federal,11,600,500,41750,950,3600,13000,3500,172500,2200,2325,5250,450,2000,800,15000,750
AR10877331094634496,COLORADO CITIZENS FOR ACCOUNTABLE GOVERNMENT,EIN ID 95-0500194,US,US-Federal,112,51700,45150,3793250,88325,335400,1166000,337000,14610000,194500,210600,468000,39850,190000,78800,1596000,72600
AR108828217808257024,TONY TINDERHOLT FOR TEXAS,EIN ID 81-1202921,US,US-Federal,18,12500,10650,923750,20850,80700,290000,79500,3885000,48700,51975,111000,9650,42500,18800,360000,17700
AR108880169732669440,Chill Out Creative SRL,,"EU, RO",EU-Parliament,10,600,450,41750,925,3500,12000,3500,172500,2100,2325,4500,400,1750,800,15000,750
AR109084404017528832,DFL SENATE CAUCUS,Registered in Minnesota 20011,US,US-Federal,97,67500,57350,4974750,112200,434600,1562000,427000,20880000,261900,279600,595500,51950,229000,101600,1935000,94950
AR109184597014609920,JEN2020,FEC ID C00711994,US,US-Federal,83,7600,6500,567000,12700,48700,171000,48500,2257500,28700,31350,66750,5850,26000,11600,222000,10650
AR109214489986990080,CORY BOOKER FOR SENATE,FEC ID C00540500,US,US-Federal,67,12800,11050,948750,21575,83400,299000,82000,3975000,50300,53550,114750,9900,43750,19600,369000,18300
AR10924747533582336,HELLER FOR SENATE,FEC ID C00494229,US,US-Federal,308,165700,144450,12099250,282500,1072900,3727000,1077500,46702500,622000,673200,1498500,127350,607000,251400,5109000,231600
AR109454389680275456,NEHLS FOR CONGRESS,FEC ID C00730150,US,US-Federal,32,1700,1400,121250,2725,10600,37000,10500,502500,6300,6825,14250,1250,5500,2400,48000,2250
AR109486619114864640,AKULA SATYANARAYANA,,IN,IN-General,2,400,350,27250,675,2600,9000,2500,112500,1500,1650,3750,300,1500,600,12000,600
AR109562966453518336,MARK LAXER,,US,US-Federal,5,300,200,19000,425,1600,6000,1500,75000,1000,1050,2250,200,750,400,6000,300
AR109607840271826944,LIVE ACTION,EIN ID 42-1764425,US,US-Federal,4,3600,3300,259500,6475,24600,85000,24500,1102500,14300,15750,35250,2900,12750,5800,111000,5400
AR109611344965140480,Tekit Web Electronic,,"EU, RO",EU-Parliament,37,2200,1850,163750,3625,14100,49000,14000,667500,8300,9075,18750,1650,7250,3200,63000,3000
AR109649346835775488,DANA OUTLAW FOR CONGRESS,FEC ID C00698787,US,US-Federal,14,1000,900,69750,1750,6600,23000,6500,285000,3800,4275,9750,750,3500,1400,30000,1350
AR109675047920074752,CINDY AXNE FOR CONGRESS,EIN ID 82-1685207,US,US-Federal,85,2400,2150,180750,4175,16200,57000,16000,757500,9600,10350,22500,1900,8500,3800,72000,3600
AR109900516523245568,Partidul National Liberal - Filiala Teleorman,,"EU, RO",EU-Parliament,9,1600,1300,118500,2600,10000,35000,10000,472500,5900,6450,13500,1200,5250,2200,45000,2100
AR109939068149694464,CENTER FORWARD,FEC ID C90012998,US,US-Federal,31,36600,32250,2677750,63100,239900,838000,240500,10755000,140600,153300,339000,28900,128750,56200,1119000,52350
AR110003939335733248,"45COMMITTEE, INC.",EIN ID 47-3803487,US,US-Federal,3,12900,11050,956750,21625,83700,301000,82500,4050000,50900,53775,114750,9950,44000,19400,369000,18300
AR110133406829903872,HFC INC,EIN ID 84-2792814,US,US-Federal,39,177500,160500,12664500,313950,1190100,4135000,1198000,53122500,695900,761025,1722750,142600,623750,279200,5502000,261450
AR110277717731049472,LEAGUE OF CONSERVATION VOTERS ACTION FUND,FEC ID C00252940,US,US-Federal,10,96500,84800,7068500,165825,630300,2191000,632500,27412500,366300,395325,878250,74900,357250,146400,2979000,135150
AR110279573156921344,SENATE LEADERSHIP FUND,EIN ID 47-2994920,US,US-Federal,29,367200,312150,26995250,610525,2364200,8491000,2323000,113197500,1417400,1521225,3244500,282950,1246000,553400,10551000,515550
AR110382858530455552,COMMITTEE TO ELECT TEDRA COBB,EIN ID 82-1958803,US,US-Federal,33,41000,36350,2969750,71100,272000,944000,271500,12472500,158600,174750,382500,31650,141500,63000,1227000,59400
AR110736695116169216,COMMUNITY VOICES SAN DIEGO,Registered in California 1421730,US,US-Federal,1,0,0,1000,25,100,0,0,7500,0,75,0,0,0,0,0,0
AR110757448398143488,MATT MAYBERRY FOR CONGRESS,FEC ID C00735001,US,US-Federal,4,2800,2400,208250,4700,18000,63000,18000,840000,10600,11625,24750,2150,9500,4200,81000,3900
AR110887259489697792,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,,"EU, SK",EU-Parliament,7,2300,2100,163750,4125,15700,53000,15500,712500,9000,10125,22500,1750,7750,3600,69000,3450
AR110925811116146688,COMMITTEE TO ELECT ERIC NELSON,EIN ID 27-1824876,US,US-Federal,8,2100,1800,155750,3525,13600,49000,13500,652500,8200,8775,18750,1650,7250,3200,60000,3000
AR11132211633848320,USA MOVEMENTS LLC,EIN ID 85-1444485,US,US-Federal,4,800,650,55750,1275,4900,18000,5000,232500,2900,3150,6750,600,2500,1200,21000,1050
AR111332149382086656,DELGADO FOR CONGRESS,FEC ID C00633859,US,US-Federal,28,14400,12600,1046500,24650,93600,324000,94000,4080000,54200,58875,131250,11050,52500,21800,444000,20100
AR111396402092834816,ARLINGTON COUNTY DEMOCRATIC COMMITTEE,EIN ID 54-1344964,US,US-Federal,11,4800,4250,359250,8325,32200,113000,31500,1492500,18900,20550,45000,3850,16500,7400,141000,6900
AR111460586084106240,DIANE FOR COLORADO CD3,FEC ID C00707638,US,US-Federal,13,47700,40700,3509500,79600,307600,1101000,303000,14707500,183800,198225,426750,37000,163750,72200,1386000,66900
AR111616510576820224,FRIENDS OF GINA RAIMONDO,EIN ID 80-0517478,US,US-Federal,21,7800,7050,559250,13800,52500,180000,53000,2362500,30400,33750,75000,6050,27000,12200,237000,11550
AR111703784312274944,NEVADA STATE DEMOCRATIC PARTY,FEC ID C00208991,US,US-Federal,33,0,50,3500,75,300,1000,500,15000,200,225,750,50,250,0,0,0
AR111802190602960896,"W.R.P.R., s.r.o.",,"EU, SK",EU-Parliament,1,300,300,23250,575,2200,8000,2000,97500,1300,1425,3000,250,1250,600,9000,450
AR111828647601504256,TRUE BLUE MEDIA LLC,EIN ID 47-5544527,US,US-Federal,2,300,250,20000,500,1900,7000,2000,82500,1100,1200,3000,250,1000,400,9000,450
AR11183819960877056,FRIENDS OF F MICHAEL HIGGINBOTHAM,EIN ID 84-3615635,US,US-Federal,4,1100,1000,77500,1925,7300,25000,7500,330000,4200,4725,10500,850,3750,1600,33000,1650
AR111864106851500032,FRIENDS OF KAREN S SMYTHE,EIN ID 82-4179853,US,US-Federal,36,6400,5550,472750,10825,41700,148000,41500,1927500,24700,26550,57750,4950,22500,9600,189000,9000
AR111944714797711360,NEED TO IMPEACH,FEC ID C00658526,US,US-Federal,97,38100,34400,2706500,67275,255900,875000,257000,11490000,147500,163950,367500,29500,132500,59000,1158000,56250
AR112004294584041472,GERRIT MORA,,US,US-Federal,1,0,50,2500,50,200,1000,0,7500,100,150,0,50,0,0,0,0
AR11202168061165568,THE SEMINAR NETWORK CHAMBER OF COMMERCE INC,EIN ID 45-3732750,US,US-Federal,2,900,750,60750,1525,5700,20000,6000,247500,3300,3675,8250,700,3250,1400,27000,1200
AR112058857848569856,COMMITTEE TO ELECT KIMYA M HOLMES,EIN ID 85-2208453,US,US-Federal,1,100,50,4750,100,400,1000,500,22500,200,225,750,50,250,0,3000,150
AR112255739149418496,MATT ROSENDALE FOR MONTANA,FEC ID C00548289,US,US-Federal,38,22100,19050,1593250,37275,142400,497000,142000,6420000,83100,90225,198750,17000,78500,33200,666000,30750
AR112555630945894400,DR MANNY FOR US SENATE,EIN ID 84-1927181,US,US-Federal,67,14100,12600,981250,24625,93200,323000,94000,4117500,54000,59625,133500,11250,49750,21400,438000,20400
AR112638712793268224,VOTE RAWLINGS,FEC ID C00718551,US,US-Federal,41,500,450,40250,900,3500,12000,3500,165000,2100,2250,4500,400,1750,800,15000,750
AR112672728934252544,Alternative für Deutschland (AfD) - Kreisverband Köln,,"DE, EU",EU-Parliament,8,16800,14350,1223250,28050,107700,377000,106500,5047500,63200,69300,149250,12850,57500,25200,501000,23250
AR1128098930098176,PATRICK MURPHY FOR CONGRESS,FEC ID C00411991,US,US-Federal,10,5500,4800,403000,9400,35700,124000,36000,1552500,20600,22350,49500,4200,20250,8400,171000,7650
AR113027046556303360,Janika Takatalo,,"EU, FI",EU-Parliament,16,1100,1000,78000,1950,7400,26000,7500,322500,4300,4725,10500,850,4000,1600,36000,1650
AR113035292893511680,"YES ON E, SAN FRANCISCANS FOR THE ARTS",EIN ID 81-2822893,US,US-Federal,4,3200,2800,234250,5500,20900,73000,21000,907500,12100,13050,29250,2500,11750,4800,99000,4500
AR113155139660939264,GROHMAN FOR CONGRESS,FEC ID C00676528,US,US-Federal,3,1900,1650,137500,3200,12200,42000,12000,532500,7000,7650,17250,1450,7000,2800,57000,2550
AR113425619521372160,COMMITTEE TO ELECT RICHARD OJEDA,FEC ID C00639989,US,US-Federal,19,2800,2450,193500,4750,18000,62000,18000,787500,10400,11400,25500,2150,10000,4200,87000,3900
AR11359123346030592,PETERS FOR ILLINOIS,Registered in Illinois,US,US-Federal,10,7900,7150,587000,13950,53900,190000,53500,2437500,31400,34425,77250,6400,29500,13000,240000,12750
AR1137238620504064,"MACMILLAN HOLDINGS, LLC",EIN ID 13-4047598,US,US-Federal,1,200,150,14000,325,1200,4000,1000,60000,700,825,1500,150,750,200,6000,300
AR113835462480625664,ΠΟΝΤΑΣ ΑΠΟΣΤΟΛΟΣ,,"EU, GR",EU-Parliament,105,11900,10500,816000,20525,77700,267000,78500,3390000,44600,49575,111000,9400,42500,17800,369000,16950
AR113926790665207808,SAN DIEGO COUNTY DEMOCRATIC PARTY,Registered in California 741906,US,US-Federal,5,500,450,38000,850,3300,12000,3500,157500,2000,2175,4500,400,1750,800,15000,750
AR114114394836697088,A BETTER STAMFORD,Registered in Connecticut,US,US-Federal,50,1300,1150,98750,2225,8600,31000,8500,412500,5200,5550,12000,1050,4500,2000,39000,1950
AR114200431621570560,IP 44,Registered in Oregon,US,US-Federal,12,2600,2250,188500,4350,16700,58000,16500,765000,9700,10725,23250,2000,8750,3800,75000,3600
AR114507538963103744,KUSTOFF FOR CONGRESS,FEC ID C00614826,US,US-Federal,4,4900,4250,337000,8300,31400,109000,31500,1372500,18200,19725,43500,3750,18000,7200,150000,6600
AR114523413162229760,MAXWELL RYMER,,US,US-Federal,2,1500,1250,109500,2475,9600,34000,9500,465000,5800,6150,12750,1150,5000,2200,42000,2100
AR114721806291566592,KOMITET WYBORCZY KANDYDATA NA PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ MAŁGORZATY KIDAWY-BŁOŃSKIEJ,,"EU, PL",EU-Parliament,1,23300,20750,1719250,40575,156600,537000,155000,6997500,90100,99975,222750,18350,83500,37400,699000,36450
AR114793686864232448,Progresívne Slovensko,,"AT, BG, CZ, DE, DK, EE, ES, EU, GB, HR, HU, IT, LT, LV, NL, PL, PT, RO, SE, SK",EU-Parliament,2631,255300,231850,18190250,453475,1724200,5893000,1732000,77430000,995400,1105875,2460000,198750,887000,396600,7782000,376500
AR114794992534290432,WISCONSIN REALTORS ADVOCACY FUND,EIN ID 82-1674073,US,US-Federal,2,10400,8850,766500,17275,66900,241000,66000,3240000,40700,43050,91500,8000,35250,15600,297000,14700
AR114807087162195968,"CASA IN ACTION, INC.",EIN ID 27-2145405,US,US-Federal,387,126400,107600,9340250,210475,815100,2931000,801000,39315000,493400,524250,1116000,97250,429250,190000,3618000,178350
AR114816158133125120,CITIZENS TO ELECT STEVEN REICK,EIN ID 46-3163984,US,US-Federal,2,1600,1350,114500,2600,10000,36000,10000,480000,6000,6450,14250,1200,5250,2400,45000,2250
AR114889550534279168,N2 AMERICA INC.,EIN ID 83-4133867,US,US-Federal,2,8600,7300,635000,14300,55400,199000,54500,2670000,33600,35625,75750,6600,29250,13000,246000,12150
AR114917038324973568,PURPLE PAC,EIN ID 84-3165869,US,US-Federal,5,17000,14500,1256250,28350,109800,395000,108000,5287500,66300,70650,150000,13100,57750,25600,489000,24000
AR115005549011009536,OKLAHOMANS UNITED AGAINST 805,EIN ID 85-2971478,US,US-Federal,3,1700,1500,128000,2875,11200,40000,11000,540000,6800,7200,15000,1350,5750,2600,48000,2400
AR11501097784967168,FRIENDS OF ROB ASTORINO,EIN ID 20-2782196,US,US-Federal,3,4900,4150,358250,8100,31300,112000,31000,1507500,18800,20175,42750,3750,16500,7400,141000,6900
